K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,2,2,4,3,30,hbgf,9,0.01,0.001,2,1000,0.6560109819030732,19.442931175231934
9,2,2,4,3,30,hbgf,9,0.01,0.001,5,1000,0.6818980203543987,19.08930516242981
9,2,2,4,3,30,hbgf,9,0.01,0.001,15,1000,0.2993922360711966,19.457101106643677
9,2,2,4,3,30,hbgf,6,0.01,0.001,2,1000,0.6953780089709528,19.61101269721985
9,2,2,4,3,30,hbgf,6,0.01,0.001,5,1000,0.7650229530139865,19.42655324935913
9,2,2,4,3,30,hbgf,6,0.01,0.001,15,1000,0.38049785097716265,19.539950847625732
9,2,2,4,3,30,nmf,9,0.01,0.001,2,1000,0.87338263491678,25.587381601333618
9,2,2,4,3,30,nmf,9,0.01,0.001,5,1000,0.8219950543482099,29.56894087791443
9,2,2,4,3,30,nmf,9,0.01,0.001,15,1000,0.3982098088411286,32.25930595397949
9,2,2,4,3,30,nmf,6,0.01,0.001,2,1000,0.7588633540105046,26.626514196395874
9,2,2,4,3,30,nmf,6,0.01,0.001,5,1000,0.7823006959588152,26.931806087493896
9,2,2,4,3,30,nmf,6,0.01,0.001,15,1000,0.46329218447587417,29.974955081939697
9,4,2,2,3,30,cspa,9,0.01,0.001,2,1000,0.7043562895913807,118.73010015487671
9,4,2,2,3,30,cspa,9,0.01,0.001,5,1000,0.5870447758772303,130.45232701301575
9,4,2,2,3,30,cspa,9,0.01,0.001,15,1000,0.41974939192232946,161.73805403709412
9,4,2,2,3,30,cspa,6,0.01,0.001,2,1000,0.615233295171024,112.5714099407196
9,4,2,2,3,30,cspa,6,0.01,0.001,5,1000,0.759011111531342,134.12564206123352
9,4,2,2,3,30,cspa,6,0.01,0.001,15,1000,0.42205544611734047,154.7991840839386
9,4,2,2,3,30,mcla,9,0.01,0.001,2,1000,0.7271545794896466,39.44655203819275
9,4,2,2,3,30,mcla,9,0.01,0.001,5,1000,0.645964135333161,39.343021869659424
9,4,2,2,3,30,mcla,9,0.01,0.001,15,1000,0.47780415682928884,38.7832818031311
9,4,2,2,3,30,mcla,6,0.01,0.001,2,1000,0.8270299341192621,38.85555410385132
9,4,2,2,3,30,mcla,6,0.01,0.001,5,1000,0.6332743480120372,38.75450897216797
9,4,2,2,3,30,mcla,6,0.01,0.001,15,1000,0.4668529966335304,39.091227293014526
9,4,2,2,3,30,hbgf,9,0.01,0.001,2,1000,0.8187739429204186,39.31950783729553
9,4,2,2,3,30,hbgf,9,0.01,0.001,5,1000,0.6050975598984196,39.69725298881531
9,4,2,2,3,30,hbgf,9,0.01,0.001,15,1000,0.4191802307538819,39.089240074157715
9,4,2,2,3,30,hbgf,6,0.01,0.001,2,1000,0.7378863761019889,38.969773054122925
9,4,2,2,3,30,hbgf,6,0.01,0.001,5,1000,0.5135955894046924,39.66081690788269
9,4,2,2,3,30,hbgf,6,0.01,0.001,15,1000,0.4744210200140642,39.820783853530884
9,4,2,2,3,30,nmf,9,0.01,0.001,2,1000,0.6752359968554159,47.66306209564209
9,4,2,2,3,30,nmf,9,0.01,0.001,5,1000,0.7094280626919924,50.444371938705444
9,4,2,2,3,30,nmf,9,0.01,0.001,15,1000,0.4546800334941392,52.80913281440735
9,4,2,2,3,30,nmf,6,0.01,0.001,2,1000,0.7536609875989777,47.3018000125885
