Grid Size,Shift Vector,K,Solver,Consensus Nclass,Num Rotations,Rotation Angle,Num Shifts,Max Iter,Theta,Epsilon,Th_dist,Dist_max,Num Clusters,NMI,Runtime (s)
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,2.0,1000,9,0.6861934735702351,7.091603994369507
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.5748186137172541,6.6449971199035645
10,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,,1000,9,0.606487030282011,8.106743097305298
15,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,2.0,1000,9,0.8791081979848037,15.399994134902954
15,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.7852476725600157,16.126147270202637
15,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,,1000,9,0.7807621519502228,18.475082874298096
20,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,2.0,1000,9,0.9237670425287717,24.29202890396118
20,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,5.0,1000,9,0.709380832899968,23.620983123779297
20,"[3, 3, 3]",9,cspa,9,3,30,3,1000,0.01,0.001,,1000,9,0.5787225067388553,25.652354955673218
