K,Num Rotations,Num Shifts,Num Shells,Num Sectors,Rotation Angle,Solver,Consensus NClass,Theta,Epsilon,Th_dist,Dist_max,NMI,Runtime
9,2,2,2,3,30,cspa,9,0.01,0.001,5.0,1000,0.5053756611214019,5.716919660568237
9,2,2,2,3,30,cspa,9,0.01,0.001,15.0,1000,0.30720498536209095,6.331249713897705
9,2,2,2,3,30,cspa,9,0.01,0.001,25.0,1000,0.3422726153012303,6.479566812515259
9,2,2,2,3,30,cspa,9,0.01,0.001,45.0,1000,0.34600490664059624,5.6109209060668945
9,2,2,2,3,30,cspa,9,0.01,0.001,,1000,0.3816396018796052,6.094241142272949
9,2,2,2,3,30,cspa,9,0.01,0.0001,5.0,1000,0.5005009870286496,6.3280417919158936
9,2,2,2,3,30,cspa,9,0.01,0.0001,15.0,1000,0.26346677068910546,6.67333197593689
9,2,2,2,3,30,cspa,9,0.01,0.0001,25.0,1000,0.3451276424715392,6.361093759536743
9,2,2,2,3,30,cspa,9,0.01,0.0001,45.0,1000,0.3676781932751521,6.43108606338501
9,2,2,2,3,30,cspa,9,0.01,0.0001,,1000,0.3512875865702856,6.992990016937256
9,2,2,2,3,30,cspa,9,0.001,0.001,5.0,1000,0.48375782310747867,6.085288047790527
9,2,2,2,3,30,cspa,9,0.001,0.001,15.0,1000,0.27482307658405514,6.0594260692596436
9,2,2,2,3,30,cspa,9,0.001,0.001,25.0,1000,0.26864700292817284,5.8735058307647705
9,2,2,2,3,30,cspa,9,0.001,0.001,45.0,1000,0.29555936793983745,5.337763071060181
9,2,2,2,3,30,cspa,9,0.001,0.001,,1000,0.2966491206433654,5.412615060806274
9,2,2,2,3,30,cspa,9,0.001,0.0001,5.0,1000,0.44566232502991027,5.475383043289185
9,2,2,2,3,30,cspa,9,0.001,0.0001,15.0,1000,0.09669978747809792,4.456009149551392
9,2,2,2,3,30,cspa,9,0.001,0.0001,25.0,1000,0.08576272344210659,4.240457057952881
9,2,2,2,3,30,cspa,9,0.001,0.0001,45.0,1000,0.23588010893199116,6.24127721786499
9,2,2,2,3,30,cspa,9,0.001,0.0001,,1000,0.29239376445885557,5.819335222244263
9,2,2,2,3,30,cspa,6,0.01,0.001,5.0,1000,0.5629542852630693,7.380143880844116
9,2,2,2,3,30,cspa,6,0.01,0.001,15.0,1000,0.3384872562911253,6.268590688705444
9,2,2,2,3,30,cspa,6,0.01,0.001,25.0,1000,0.36769795459892496,5.892029285430908
9,2,2,2,3,30,cspa,6,0.01,0.001,45.0,1000,0.4155980459733389,5.712431192398071
9,2,2,2,3,30,cspa,6,0.01,0.001,,1000,0.42996047821627714,5.741528034210205
9,2,2,2,3,30,cspa,6,0.01,0.0001,5.0,1000,0.4601980283132584,6.903301000595093
9,2,2,2,3,30,cspa,6,0.01,0.0001,15.0,1000,0.27905664039710915,5.728466987609863
9,2,2,2,3,30,cspa,6,0.01,0.0001,25.0,1000,0.3733808180971348,6.544133186340332
9,2,2,2,3,30,cspa,6,0.01,0.0001,45.0,1000,0.4208309558344278,6.233155012130737
9,2,2,2,3,30,cspa,6,0.01,0.0001,,1000,0.4237336944742228,6.114551067352295
9,2,2,2,3,30,cspa,6,0.001,0.001,5.0,1000,0.4632486562634705,5.320615768432617
9,2,2,2,3,30,cspa,6,0.001,0.001,15.0,1000,0.2710889794457953,6.169233798980713
9,2,2,2,3,30,cspa,6,0.001,0.001,25.0,1000,0.3612126983428102,6.489422082901001
9,2,2,2,3,30,cspa,6,0.001,0.001,45.0,1000,0.309396159503947,5.596374988555908
9,2,2,2,3,30,cspa,6,0.001,0.001,,1000,0.30734064541475026,5.802182912826538
9,2,2,2,3,30,cspa,6,0.001,0.0001,5.0,1000,0.35176982784955935,5.626457929611206
9,2,2,2,3,30,cspa,6,0.001,0.0001,15.0,1000,0.2724962905499074,6.978135108947754
9,2,2,2,3,30,cspa,6,0.001,0.0001,25.0,1000,0.10555156052922002,4.406551122665405
9,2,2,2,3,30,cspa,6,0.001,0.0001,45.0,1000,0.327398730452949,6.076020002365112
9,2,2,2,3,30,cspa,6,0.001,0.0001,,1000,0.3266271313511525,5.886696815490723
9,2,2,2,3,30,hgpa,9,0.01,0.001,5.0,1000,0.4771031962362571,2.9700119495391846
9,2,2,2,3,30,hgpa,9,0.01,0.001,15.0,1000,0.2858764537758601,2.9085240364074707
9,2,2,2,3,30,hgpa,9,0.01,0.001,25.0,1000,0.20987342579823534,3.00195574760437
9,2,2,2,3,30,hgpa,9,0.01,0.001,45.0,1000,0.06344614774812699,2.8458540439605713
9,2,2,2,3,30,hgpa,9,0.01,0.001,,1000,0.32064086880451437,2.8138628005981445
9,2,2,2,3,30,hgpa,9,0.01,0.0001,5.0,1000,0.3933191515974844,2.718801975250244
9,2,2,2,3,30,hgpa,9,0.01,0.0001,15.0,1000,0.27330888328626796,2.655893087387085
9,2,2,2,3,30,hgpa,9,0.01,0.0001,25.0,1000,0.12207300209080266,2.7793679237365723
9,2,2,2,3,30,hgpa,9,0.01,0.0001,45.0,1000,0.32843265890758294,2.635007858276367
9,2,2,2,3,30,hgpa,9,0.01,0.0001,,1000,0.2835385103393823,3.877775192260742
9,2,2,2,3,30,hgpa,9,0.001,0.001,5.0,1000,0.27584000069891995,2.9183080196380615
9,2,2,2,3,30,hgpa,9,0.001,0.001,15.0,1000,0.2887437281595741,2.489551305770874
9,2,2,2,3,30,hgpa,9,0.001,0.001,25.0,1000,0.1252640603219337,2.397944927215576
9,2,2,2,3,30,hgpa,9,0.001,0.001,45.0,1000,0.14740363178865445,2.462664842605591
9,2,2,2,3,30,hgpa,9,0.001,0.001,,1000,0.15657261269875722,2.4479799270629883
9,2,2,2,3,30,hgpa,9,0.001,0.0001,5.0,1000,0.1571217100807654,2.378049850463867
9,2,2,2,3,30,hgpa,9,0.001,0.0001,15.0,1000,0.09387395752123243,2.3747940063476562
9,2,2,2,3,30,hgpa,9,0.001,0.0001,25.0,1000,0.09930918060602786,2.352980136871338
9,2,2,2,3,30,hgpa,9,0.001,0.0001,45.0,1000,0.1496316489252974,2.4423859119415283
9,2,2,2,3,30,hgpa,9,0.001,0.0001,,1000,0.12394857991553092,2.462759017944336
9,2,2,2,3,30,hgpa,6,0.01,0.001,5.0,1000,0.46270221193893823,2.4852092266082764
9,2,2,2,3,30,hgpa,6,0.01,0.001,15.0,1000,0.18272149412391372,2.789478063583374
9,2,2,2,3,30,hgpa,6,0.01,0.001,25.0,1000,0.32859342941325126,2.4918038845062256
9,2,2,2,3,30,hgpa,6,0.01,0.001,45.0,1000,0.0447566969506951,2.3993310928344727
9,2,2,2,3,30,hgpa,6,0.01,0.001,,1000,0.2831658459534738,2.363115072250366
9,2,2,2,3,30,hgpa,6,0.01,0.0001,5.0,1000,0.4233351853900648,2.90887188911438
9,2,2,2,3,30,hgpa,6,0.01,0.0001,15.0,1000,0.09982869518155775,2.538611888885498
9,2,2,2,3,30,hgpa,6,0.01,0.0001,25.0,1000,0.19977671269197095,2.530672073364258
9,2,2,2,3,30,hgpa,6,0.01,0.0001,45.0,1000,0.3470689584298424,2.7107748985290527
9,2,2,2,3,30,hgpa,6,0.01,0.0001,,1000,0.237573552987897,2.665802001953125
9,2,2,2,3,30,hgpa,6,0.001,0.001,5.0,1000,0.15823251573654207,2.38362193107605
9,2,2,2,3,30,hgpa,6,0.001,0.001,15.0,1000,0.14603550009941973,2.411310911178589
9,2,2,2,3,30,hgpa,6,0.001,0.001,25.0,1000,0.1086678365708053,2.4294040203094482
9,2,2,2,3,30,hgpa,6,0.001,0.001,45.0,1000,0.09699118566233175,2.4007060527801514
9,2,2,2,3,30,hgpa,6,0.001,0.001,,1000,0.10416460772272783,2.3875041007995605
9,2,2,2,3,30,hgpa,6,0.001,0.0001,5.0,1000,0.10035161029430607,2.3337860107421875
9,2,2,2,3,30,hgpa,6,0.001,0.0001,15.0,1000,0.12278393392414647,2.2798421382904053
9,2,2,2,3,30,hgpa,6,0.001,0.0001,25.0,1000,0.10500875159662836,2.2518460750579834
9,2,2,2,3,30,hgpa,6,0.001,0.0001,45.0,1000,0.11118124130770447,2.2899677753448486
9,2,2,2,3,30,hgpa,6,0.001,0.0001,,1000,0.13782759667081224,2.4596211910247803
9,2,2,2,3,30,mcla,9,0.01,0.001,5.0,1000,0.47061050326707277,2.837386131286621
9,2,2,2,3,30,mcla,9,0.01,0.001,15.0,1000,0.3506076683045091,2.8411812782287598
9,2,2,2,3,30,mcla,9,0.01,0.001,25.0,1000,0.482834560307019,2.937983989715576
9,2,2,2,3,30,mcla,9,0.01,0.001,45.0,1000,0.22939822157537762,2.738090991973877
9,2,2,2,3,30,mcla,9,0.01,0.001,,1000,0.5177282364547825,2.8979740142822266
9,2,2,2,3,30,mcla,9,0.01,0.0001,5.0,1000,0.5338732268864351,2.8683340549468994
9,2,2,2,3,30,mcla,9,0.01,0.0001,15.0,1000,0.3277410163508647,2.733441114425659
9,2,2,2,3,30,mcla,9,0.01,0.0001,25.0,1000,0.3954828594798,2.931417942047119
